company_name,job_title,location,state,est_salary,min_salary,max_salary,python,spark,excel,aws,rating,sector,industry,job_age,job_description
"Sonos, Inc",Senior Data Scientist,Remote,Remote,,80249.21,153461.99,0,0,0,0,Not given,Not given,Not given,8d,"At Sonos we want to create the ultimate listening experience for our customers and know that it starts by listening to each other. As part of the Sonos team, you’ll collaborate with people of all styles, skill sets, and backgrounds to realize our vision while fostering a community where everyone feels included and empowered to do the best work of their lives.
This role can be done from home
Building the world’s leading sound experience starts with the experience we provide for our people. That’s why we’ve been distributed from the start: initially between offices in Boston & Santa Barbara, and now with additional offices in Seattle, San Francisco & Paris. This role can be done from anywhere in the United States- any of our offices, or remotely from home. It’s about impact, not location.
We have an unquenchable thirst for data at Sonos. Do you love digging around in piles of complex data looking for interesting patterns and insights? Are you adept at taking challenging business questions and solving them creatively with data? Are you excited to guide those around you to think in more data-focused ways? Do you love working in collaborative team environments? If so, this is the opportunity for you!
What You’ll Do"
Visa,Data Scientist,"Foster City, CA",CA,101000-180000,101000.0,180000.0,0,0,0,0,4.0,Information Technology,Information Technology Support Services,3d,"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.
Join Visa: A Network Working for Everyone."
Booz Allen Hamilton,"Data Scientist, Junior","Patuxent River, MD",MD,62000-134000,62000.0,134000.0,0,0,0,0,4.2,Management & Consulting,Business Consulting,1d,"The Challenge:
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As an aspiring data scientist, you know you can help turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection, to cancer research, to national intelligence — you see data scientists turning data into actions and you want to be part of the team.
We have an opportunity for you to develop your analytical skills and establish your career in data science. You’ll join a rigorous training program that combines skills assessments, a comprehensive curriculum, functional mentorship, a capstone analytic challenge, and support to place you on your first data science project. You’ll learn how to write scripts to integrate data, conduct exploratory data analysis to discover hidden trends, apply machine learning to train predictive models, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers that inform decisions. Equipped with the foundational data science skills to accelerate your career, you’ll join a team and apply those skills to support our clients’ critical national security missions. Embrace the challenge and join us in driving change through data science."
CalypsoAI,Data Scientist - Professional Services,Remote,Remote,,80249.21,153461.99,0,0,0,0,Not given,Not given,Not given,24h,"Data Scientist - Professional Services (Client Facing).

CalypsoAI
Washington, DC USA

Job Position: Data Scientist (Delivery) (East Coast US- Remote) - Full-Time Position.

We are looking for a driven, analytical, and highly professional data scientist to help deliver our solutions to customers, and to shape the future of what we build.

Company Overview:
AI-powered systems are increasingly being used to replace or augment human decision-making across a broad range of industries."
BlueSky Technology Solutions,Data Scientist - 100% Remote,Remote,Remote,150000-175000,150000.0,175000.0,0,0,1,0,Not given,Not given,Not given,30d+,"We have an immediate need for an experienced Data Scientist. This permanent position is 100% remote and offers competitive compensation (that will depend on level of experience) as well as an excellent benefits package.
Target Skills and Experience:
5+ years of Data Analytics experience while working as a Data Scientist.
Strong ability to analyze large amounts of data to discover trends and patterns and build predictive models and machine-learning algorithms to support decision making and quality improvement.
Strong ability to evaluate predictive models, including those developed by vendors or other data scientists, and produce actionable insights, strategies, and recommendations to business challenges.
Healthcare knowledge including hands-on experience working with Healthcare Provider and Patient data for analytics purposes."
Orgspire Info Technologies Pvt. Ltd.,Data Scientist (Python & SQL) -- Remote Work,Remote,Remote,42-46,87360.0,95680.0,1,0,0,0,Not given,Not given,Not given,2d,"Work Authorization: Only Applicants who can work Independently
Maintain and optimize a new informatics pipeline: Execute construction of a relational database integrating different forms of biological data. Enable at-scale analytics for R&D: develop workflows for integrating biological data, work with Bio- and Cheminformatics Data Scientists incorporate new analyses into workflows.
Required Proficiencies:
Python data science skills (Jupyter, Pandas, NumPy, Matplotlib, SQLAlchemy)
SQL and PostgreSQL database administration
Familiarity with Unix/shell environment
Version control with Git"
Raymour and Flanigan,Data Scientist,"Liverpool, NY",NY,63000-104000,63000.0,104000.0,0,0,0,0,3.8,Retail & Wholesale,Home Furniture & Housewares Stores,3d,"Data Scientist
Syracuse, NY
Why Raymour & Flanigan?
With more than 60 years as an established, family-owned company, Raymour & Flanigan has grown into the largest furniture retailer in the Northeast with more than 140 showrooms in seven states and we are continually expanding our territory. We have a strong foundation of experienced IT and business professionals with expertise in harnessing and maximizing organizational processes to solve a wide variety of complex business needs.
Position Overview"
Snowflake,Sr. Data Scientist,"Dublin, CA",CA,105000-205000,105000.0,205000.0,0,0,0,0,4.3,Information Technology,Enterprise Software & Network Solutions,17d,"There is only one Data Cloud. Snowflake’s founders started from scratch and designed a data platform built for the cloud that is effective, affordable, and accessible to all data users. But it didn’t stop there. They engineered Snowflake to power the Data Cloud, where thousands of organizations unlock the value of their data with near-unlimited scale, concurrency, and performance. This is our vision: a world with endless insights to tackle the challenges and opportunities of today and reveal the possibilities of tomorrow.
RESPONSIBILITIES :
Provide technical and thought leadership designing, testing and implementing methodologies to forecast and monitor metric time series.
Develop algorithms to detect anomalies, assess risks/threats, and core metric fluctuations with our Security team.
Conduct ad-hoc analysis to understand unexpected metric movements and communicate results to other data scientists, product managers and company leadership."
AssemblyAI,"Data Scientist, NLP",Remote,Remote,100000-140000,100000.0,140000.0,0,0,0,0,5.0,Information Technology,Enterprise Software & Network Solutions,24d,"AssemblyAI is an AI company - we build powerful models to transcribe and understand audio data, exposed through simple APIs.
Hundreds of companies, and thousands of developers, use our APIs to both transcribe and understand millions of videos, podcasts, phone calls, and zoom meetings every day. Our APIs power innovative products like conversational intelligence platforms, zoom meeting summarizers, content moderation, and automatic closed captioning.
We’ve been growing at breakneck speed, and are backed by leading investors including Y Combinator’s AI Fund, Patrick and John Collision (Founders of Stripe), Nat Friedman (Former CEO of GitHub), and Daniel Gross (Entrepreneur & Investor in companies including GitHub, Uber, Coinbase, SpaceX, Instacart, Notion, and Cruise Automation).
AssemblyAI’s Speech-to-Text APIs are already trusted by Fortune 500s, startups, and thousands of developers around the world, As part of a huge and emerging market, AssemblyAI is well on its way to becoming the leader in speech recognition and NLP."
Duolingo,"Data Scientist, Analytics","New York, NY",NY,69000-131000,69000.0,131000.0,1,0,0,0,4.8,Information Technology,Internet & Web Services,30d+,"Our mission at Duolingo is to develop the best education in the world and make it universally available. But we've got more left to do — and that's where you come in!
Duolingo is the most popular language-learning application in the world, with over 500 million users and over half a billion exercises completed daily. Beyond our core learning product, we have also entered into literacy with Duolingo ABC and English proficiency testing with the Duolingo English Test.
We are passionate about educating our users, making fact-based decisions, and finding innovative solutions to complex problems. We offer meaningful work, limitless learning opportunities, and collaboration with world-class minds. Come brighten your life and over half a billion more!
Analytics specialists on the Data Science team build the data foundation for reporting, analysis, experimentation, and machine learning at Duolingo. We are looking for someone with expertise in metric development, data modeling, SQL, and Python. Using these tools, you will transform raw data into an analytics layer that powers decision-making at the company (e.g. metrics, dashboards, tables)."
Stitch Fix,Data Scientist,Remote,Remote,,80249.21,153461.99,0,0,0,0,Not given,Not given,Not given,30d+,"We’re a team of bright, kind individuals who are motivated by challenge and who care deeply about achieving great things. We know our individual strengths, but believe we only win as a team. We’re transforming the way people find what they love - and we need your big ideas. We just might be the perfect fit.
ABOUT THE TEAM
At Stitch Fix, our data science team combines machine learning with expert human judgment to generate innovative recommendations and insights that transform the way our clients discover what they love. We believe in a curiosity-driven data science culture where members are empowered to deliver impact through end-to-end model development. The diversity of the problems that we work on and the data-rich environment of our business make it possible, even essential, to bring the tools of multiple disciplines to bear on our hardest problems. As a $2B+ company, our growing business is looking for data scientists to join us in the revolutionization of retail.
ABOUT THE ROLE
This is a full-stack data scientist role where you will get to work closely with stakeholders to identify impactful problems and build algorithmic solutions. Cross-functional collaboration is deeply meaningful to us and is how we’ve built up immense trust with our partners in Strategy, Product, Merchandising, Styling, Marketing, Engineering, Finance and Operations. You'll have the opportunity to bring your ideas to life by building on a foundation of strong business support, clear vision, engaged internal users, and bright, kind teammates."
Calm,"Data Scientist, Analytics",Remote,Remote,,80249.21,153461.99,0,0,0,0,Not given,Not given,Not given,30d+,"Data Scientist, Analytics at Calm
Remote
Who We Are:
At Calm, we have a simple, albeit BIG mission: to make the world a happier and healthier place. Through our website, blog, and app—filled with meditations, sleep stories, music, movement, and more—we’re redefining what mental care looks like in 2021 and beyond. With over 100 million users worldwide, 100,000 new users daily, and our growing partnerships with major companies, we’re having a positive effect on more and more people each and every day. And while the heart of Calm is digital, we are growing and expanding offline with a variety of products and services to help deliver on our mission of health and happiness, the world over.
What We Do:"
The Coca-Cola Company,Data Scientist 2,"Plano, TX",TX,82000-164000,82000.0,164000.0,0,0,0,0,4.0,Manufacturing,Food & Beverage Manufacturing,24h,"About Enterprise Data and Analytics:
The Data and Analytics (DnA) Services organization is transforming how Coca-Cola leverages data across the entire company. We passionately develop and scale leading data capabilities for Coca-Cola, driving growth and delighting consumers through innovation and agile, insight-led decision making.
Job Description Summary:
You will play a critical role in the growing Data Science Services team in DnA, where you will be responsible for developing advanced analytics and machine learning models across domains including: marketing, supply chain optimization, forecasting, digital transformation, and food and beverage science. You will work closely with IT partners, process owners and business stakeholders to deliver impactful data science solutions at significant scale. You will have the opportunity to do your best work every day and deliver disruptive innovation by tapping into new datasets, leveraging the latest cloud technologies, and being supported by a robust analytics and IT organization."
Lidl US,Jr. Data Scientist (Remote Eligible),"Arlington, VA",VA,51000-127000,51000.0,127000.0,0,0,0,0,3.1,Retail & Wholesale,Grocery Stores,1d,"Location
HQ
3500 S Clark Street
Arlington, VA 22202
Employment Type
Full-Time
Experience Level"
ExxonMobil,Data Scientist (Upstream),"Houston, TX",TX,89000-216000,89000.0,216000.0,0,0,0,0,3.1,"Energy, Mining & Utilities",Energy & Utilities,30d+,"JOB SUMMARY

Data scientists at ExxonMobil combine domain expertise with interdisciplinary data science skills to bring insights to today’s most challenging energy decisions. We are looking to hire candidates to work on challenging data science problems across our oil & gas businesses, including exploration, production, refining, chemicals, and retail.

JOB RESPONSIBILITIES

Apply statistical analysis, pattern recognition, and machine learning – along with domain knowledge and subject-specific models – to solve science, engineering, and commercial problems."
Faire,Data Scientist,"San Francisco, CA",CA,92000-172000,92000.0,172000.0,0,0,0,0,4.8,Retail & Wholesale,Wholesale,30d+,"About Faire
Faire is an online wholesale marketplace built on the belief that the future is local — there are over 2 million independent retailers in North America and Europe doing more than $2 trillion in revenue. At Faire, we're using the power of tech, data, and machine learning to connect this thriving community of entrepreneurs across the globe. Picture your favorite boutique in town — we help them discover the best products from around the world to sell in their stores. With the right tools and insights, we believe that we can level the playing field so that small businesses everywhere can compete with these big box and e-commerce giants.
By supporting the growth of independent businesses, Faire is driving positive economic impact in local communities, globally. We're looking for smart, resourceful and passionate people to join us as we power the shop local movement. If you believe in community, come join ours.
Job Description"
XIFIN,Data Scientist,"San Diego, CA",CA,79000-147000,79000.0,147000.0,0,0,0,0,4.0,Information Technology,Enterprise Software & Network Solutions,30d+,"Data Scientist
Why XIFIN?
XIFIN is a San Diego based SaaS company that leverages diagnostic information to improve the quality and economics of healthcare. Our cloud-based platform facilitates connectivity and workflow automation for accessing and sharing clinical and financial diagnostic data, improving the delivery and reimbursement of care. In addition to our robust technology platform, XIFIN offers a full-service revenue cycle operation for diagnostic companies. Revenue Cycle Operations is a key engine of growth for XIFIN. Through all of products and services we are self-driven innovators who are looking to make a difference in the healthcare technology
space.
Who are we looking for?"
Experian,Data Scientist - OPEN TO 100% REMOTE WORK (US ONLY),"San Diego, CA",CA,59000-136000,59000.0,136000.0,0,0,0,0,4.4,Management & Consulting,Research & Development,30d+,"Company Description

Experian is the world’s leading global information services company. During life’s big moments – from buying a home or a car, to sending a child to college, to growing a business by connecting with new customers – we empower consumers and our clients to manage their data with confidence. We help individuals to take financial control and access financial services, businesses to make smarter decisions and thrive, lenders to lend more responsibly, and organizations to prevent identity fraud and crime.
As the world’s leading repository of consumer credit data, Experian is transforming data into solutions that facilitate transactions, ensure financial safety and improve the financial lives of millions of consumers around the world. We have been named by Forbes magazine as one of the “World’s Most Innovative Companies"" and ranked on Fortune’s Best Companies to work for.
Experian DataLabs is a R&D unit at Experian formed with the desire to work in collaboration with Experian’s business units to enhance relationships with clients and acquire strategic datasets. Experian® is a global leader in providing information, analytical tools and marketing services to organizations and consumers to help manage the risk and reward of commercial and financial decisions. Using our comprehensive understanding of individuals, markets, and economies, we help organizations find, develop and manage customer relationships to make their businesses more profitable."
RELX,Data Scientist (Python/SQL),"Alpharetta, GA",GA,60000-125000,60000.0,125000.0,0,0,0,0,3.9,Information Technology,Enterprise Software & Network Solutions,17d,"LexisNexis® Risk Solutions provides customers with solutions and decision tools that combine public and industry specific content with advanced technology and analytics to assist them in evaluating and predicting risk and enhancing operational efficiency.
As the Innovation Engineering Group, our goal is to utilize the power of data and analytics to improve engineering velocity, reduce costs and help teams make better, timelier decisions.
We are looking for a self-motivated and driven senior data scientist, adept at using current AI/ML methodologies on large data sets, which include, but are not limited to, performing data normalization, trending and forecasting, statistical/predictive modeling, network analysis, text mining, natural language processing and image recognition. This position will work on multiple projects concurrently, will self-manage their tasks with minimal supervision, and may be asked to lead small projects.
Responsibilities
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to improve engineering velocity and drive business solutions."
MARS,Data Scientist,"Chicago, IL",IL,80000-127000,80000.0,127000.0,0,0,0,0,4.2,Manufacturing,Food & Beverage Manufacturing,1d,"Data Scientist, Supply Chain Analytics
Location: Chicago, IL or Newark, NJ
The Data Scientist role is responsible for evangelizing the adoption of data driven decisions across Mars by leading the development of advanced analytical tools that utilize the vast amounts of data available to the company. These tools will be rooted in a strong statistical foundation and leverage cutting-edge machine learning concepts to provide actionable insights for solving business problems or finding opportunities for profitable growth.
You will be required to have proficient knowledge and strong experience in the interconnected disciplines of Applied Data Science, Optimization, AI/ML, and Operations Research. You are a strong engineer with deep expertise in cutting-edge technologies, robust design, development, coding, and testing of high-standard and scalable solutions."
First Republic Bank,Data Scientist,"San Francisco, CA",CA,80000-127000,80000.0,127000.0,0,0,0,0,4.2,Financial Services,Banking & Lending,6d,"Description
**Visa sponsorship not available for this role

At First Republic, we care about our people. Founded in 1985, we offer extraordinary client service in private banking, private business banking and private wealth management. We believe that personal connections are everything and our success is driven by the relationships we form with our colleagues and clients. You'll always feel empowered and valued here.

Incredible teams doing exceptional work, every day
In Data & Client Insights, we are responsible for delivering accurate data reporting to help promote data fluency, improve client service, and inform business decisions across the enterprise. We aim to maximize the value of the Bank's data to capitalize on competitive opportunities in increasingly sophisticated ways."
Visa,Data Scientist,"Highlands Ranch, CO",CO,80000-127000,80000.0,127000.0,0,0,0,0,4.0,Information Technology,Information Technology Support Services,3d,"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.
Join Visa: A Network Working for Everyone."
Culture Amp,Data Analyst/Statistician,"West, TX",TX,80000-127000,80000.0,127000.0,0,0,0,0,4.0,Information Technology,Internet & Web Services,4d,"How you can help
At Culture Amp we’re rapidly growing our data science capabilities. As a Data Analyst you’ll work in a research team alongside People Scientists and Data scientists to learn from our customer data how we can transform the world of work. You will work across the research process - crafting key questions for study, identifying the right types of analyses, completing those analyses, and developing the resulting narrative
We are ever growing and our domain merges together
Panel data analysis of many different kinds of surveys and survey frames spanning the full employee cycle from onboarding through to exit tracking concepts such as employee engagement, effectiveness and performance, equity and inclusivity, growth and development.
Employee demographic and account metadata to define segments and cohorts of interest across our entire customer base and within a single account."
Balyasny Asset Management,Junior Quant Researcher - NLP Team,"San Francisco, CA",CA,80000-127000,80000.0,127000.0,0,0,0,0,4.6,Financial Services,Investment & Asset Management,30d+,"The Job Details are as follows:
BAM is in a period of exciting growth and expansion within the NLP space. This exciting role within our group will provide you with the opportunity to deploy state of the art NLP technologies to make a lasting impact on the firm's data and investment processes. At BAM, you will have the chance to work with some of the smartest and most driven individuals in the industry.
This role will work in an equities-focused quantitative research team that researches and produces alternative data by Natural Language Processing (NLP) and Machine Learning used throughout the firm.
As a Junior Quantitative Researcher on our NLP Team at BAM, you will:
Conduct quantitative research and deliver insights related to:
New alternative data and/or improving existing data processing pipelines
NLP/Machine learning models
Automate and maintain production of research output"
Motive,Data Scientist,"San Francisco, CA",CA,80000-127000,80000.0,127000.0,0,0,0,0,4.3,Transportation & Logistics,Shipping & Trucking,30d+,"Who We Are
Motive builds technology to improve the safety, productivity, and profitability of businesses that power the physical economy. The Motive Automated Operations Platform combines IoT hardware with AI-powered applications to automate vehicle and equipment tracking, driver safety, compliance, maintenance, spend management, and more. Motive serves more than 120,000 businesses, across a wide range of industries including trucking and logistics, construction, oil and gas, food and beverage, field service, agriculture, passenger transit, and delivery.
Motive is proud to be a Forbes Cloud 100 company and a 2020 Career-Launching Company by Wealthfront.
About the Job:
We are looking for a Senior Data Scientist to build the models that power a key new focus area for Motive. As a member of our team you'll help frame the problems, build models and products that win customers, and leverage machine learning at a massive scale to solidify Motive's technology lead in the connected fleet management space."
Pinterest,"Data Scientist, Shopping Monetization","San Francisco, CA",CA,80000-127000,80000.0,127000.0,0,0,0,0,4.2,Information Technology,Internet & Web Services,4d,"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Our new progressive work model is called PinFlex, a term that's uniquely Pinterest to describe our flexible approach to living and working. Visit our PinFlex landing page to learn more.
As a Data Scientist you will shape the future of people-facing and business-facing products we build at Pinterest. Your expertise in quantitative modeling, experimentation and algorithms will be utilized to solve some of the most complex engineering challenges at the company. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Design, Research, Product Analytics, Data Engineering and others. The results of your work will influence and up-level our product development teams while introducing greater scientific rigor into the real world products serving hundreds of millions of Pinners, creators, advertisers and merchants around the world.

Not Specified
0"
Roche,Data Scientist - (Remote),"Indianapolis, IN",IN,80000-127000,80000.0,127000.0,0,0,0,0,4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,16d,"This is a remote opportunity.
The Opportunity:
This is an exciting time to join Roche Diagnostics! You will help Roche continue to progress through the data maturity model using data science methods and principles to generate deeper insights from a great variety of internal and external data sources. To achieve this, you will identify needs, lead the design and implementation of analytical solutions, provide advice and consulting support to our key business stakeholders and demonstrate value by executing proof-of-concept initiatives and prototyping analytical solutions to answer business questions.

As a Data Scientist, you will position data science as a key competency within the enterprise and be responsible for creating value from data assets using advanced analytics capabilities including data science, machine learning, and artificial intelligence methodologies to identify critical business risk and opportunities for Roche.


Individual contributor"
Oscar Health,Data Scientist,"New York, NY",NY,80000-127000,80000.0,127000.0,0,0,0,0,3.6,Insurance,Insurance Agencies & Brokerages,1d,"Hi, we're Oscar. We're hiring Data Scientists to join our team.
Oscar is the first health insurance company built around a full stack technology platform and a relentless focus on serving our members. We started Oscar in 2012 to create the kind of health insurance company we would want for ourselves—one that behaves like a doctor in the family.
Oscar is restructuring health care to make it easy, affordable, and seamless for consumers to access high value care. Oscar's data team is focused on pushing our understanding of this complex landscape. Insurance companies sit on a trove of data that is both broad and deep, spanning financial claims, clinical medical records, and rich product interaction data from our members. Connecting the dots across these datasets gives us unique insight into how the healthcare system functions and allows us to improve care coordination, better manage risk, build higher-performing provider networks, and create a standout consumer experience in our product. At Oscar, we are looking for bright and curious data minded individuals to join our team of 40+ researchers, data scientists, and analysts to leverage our efforts!"
