company_name,job_title,location,est_salary,rating,sector,industry,job_age,job_description
ERPMark Inc,Data Scientist,Remote,Employer Provided Salary:$55 - $65 Per Hour,4.0,Management & Consulting,Business Consulting,11d,"Role: Data Scientist
Location: 100% Remote
Duration: Long Term
NOTE: This is a W2 Role.
Experience:
Prefer background in healthcare, retail, or consulting
Heavy exposure
Product analytics, marketing analytics and data science (traditional supervised machine learning is fine, don’t need deep ML
Critical Skills:
SQL
Python
PySpark
Project Information:
The incumbent will provide critical insights to business stakeholders that will guide decisions on service updates and new functionality to accelerate growth. They are looking for a self-motivated analyst with experience performing advanced analytics to solve large problems."
Precise Solutions,Data Scientist,"Waukegan, IL",Employer Provided Salary:$60 Per Hour,2.9,Not given,Not given,30d+,"At Precise Solutions, we are looking for top talent consultants to bring on as employees of our organization and service our clients in the various Life Sciences Industries. We are much more than a consulting firm! Precise Solutions provides competitive compensation packages with great salaries, benefits, health insurance, paid time off and employer-based 401k contributions.
We currently have an immediate need for the following:
Job Title: Data Scientist
Location: Remote until virus restrictions are removed. Onsite in Lake County, Illinois after restrictions.
Compensation: $60.00 per hour, Paid Time off, Company 401k contributions, Health, dental, and vision insurance. Total Annual Compensation including benefits is $138,000.00
Note: Please do not submit resumes with candidate photos, they will not be considered.
Enterprise Data Scientist is the key player in driving advanced analytics and maturing AI at client, supporting multiple use cases across various business technology organizations within the client; covering but not limited to language/image processing, machine learning analytics, deep learning analytics etc. The use cases cover areas in the client’s research, commercial operations, manufacturing systems, supply chain planning, logistics, infrastructure processes etc."
Nike,"Data Scientist - Commercial Analytics (Open to remote work, except the following locations: SD, VT, and WV)","Beaverton, OR",Employer Provided Salary:$117K,4.1,Manufacturing,Consumer Product Manufacturing,30d+,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and innovative technology, we strive to ensure that Nike gets the right product to the right place at the right time for the consumers!"
Apisero,Data Scientist,Remote,Employer Provided Salary:$70 - $75 Per Hour,4.3,Information Technology,Information Technology Support Services,5d,"We're Hiring Data scientists for our Internal client's projects
Contract - Remote
- A/b testing
- Statistics
- Python, R Programming
- Timer series and Forecasting
Job Type: Contract
Salary: $70.00 - $75.00 per hour"
Manufacturers Bank,Data Scientist (Remote),"Los Angeles, CA",$75K - $176K (Glassdoor est.),3.6,Financial Services,Investment & Asset Management,30d+,"NEW DIGITAL BANK MISSION STATEMENT:
Join us on our mission to create a completely new, 100% digital bank that truly serves customers’ best interests. We are a close-knit and fun-loving team of seasoned financial services professionals who came together for the challenge of building a bank from scratch – and we are committed to doing it all the right way (from technology infrastructure to modern marketing to customer experience).
We work with the flexibility and speed of a start-up. But we also have significant stability and capital from being part of the SMBC Group (Sumitomo Mitsui Banking Corporation). SMBC is the 2nd largest bank in Japan and the 12th largest bank in the world with operations in over 40 countries. And SMBC is committed to disrupting the US marketplace with ground-breaking products.
It’s the best of both worlds, and we are seeking proven marketing leaders to propel us towards a national launch. We have both the ambitious growth plans and the “patient capital” necessary to execute a multi-year plan. Join us on the journey to deliver an exciting concept of evolved banking."
Avis Budget Group,Associate Data Scientist,"Parsippany, NJ",Employer Provided Salary:$60K - $74K,3.4,Transportation & Logistics,Car & Truck Rental,30d+,"Associate Data Scientist
The role of an associate data scientist is to leverage advanced data analytics and data science skills, techniques and models efficiently and effectively across many different areas and lines of the business, to help the organization best understand and predict actions, behaviors, trends, and areas of opportunity. This person will work as part of one or more product teams focused on empowering our organization to make the best decisions possible by leveraging data. We have teams focused on analytics and data science across many critical areas, including marketing, customer service, fleet, supply chain and operations.
This person will have the opportunity to contribute to helping solve problems like:
1. How to best segment and understand our customers so we can connect with them in the most personalized manner to drive more engagement and create a differentiated customer experience"
Abbott Laboratories,Data Scientist,"Austin, TX",Employer Provided Salary:$30 - $45 Per Hour,3.9,Healthcare,Health Care Services & Hospitals,5d,"Onsite position
Summary
Particularly skilled in quantitative analysis and data management
Utilize technologies to collect, clean, analyze, predict, and effectively communicate information
Able to examine relevant data and quickly develop an analysis plan that will answer key business questions and create value for the client
Understanding of machine learning algorithms and advanced statistics such as: regression, time-series forecasting, clustering, decision trees, exploratory data analysis methodology, simulation, scenario analysis, modeling, optimization, unstructured data analysis, and neural networks
Works with stakeholders to define business questions, requirements, timelines, objectives, and success criteria to address need"
Binance.us,Senior Data Scientist,Remote,Employer Provided Salary:$125K - $165K,2.7,Information Technology,Internet & Web Services,3d,"Binance.US, one of the most recognized brands in cryptocurrency, is looking for a Data Analyst to join our growing Data Organisation. You will work on various aspects of the business based on your previous experience and inclination.
*
The ideal candidate is a self-starter with a solid foundation in statistics and experience in data science/analytics. You are strong in execution and delivery. You have a passion for extracting value from data by generating actionable insights.
*
*
Responsibilities
Identify potential business opportunities within your area and scope/design approaches to capture those opportunities"
Disney Streaming,Data Scientist II,"Seattle, WA",$96K - $154K (Glassdoor est.),3.5,Information Technology,Internet & Web Services,30d+,"The Data Science team at Disney Streaming Services combines deep data analysis and research of our rich user data to present a compelling vision around user retention and preferences across the vast ecosystem of our product offerings and content. We are the insights and modeling partners for the content, marketing, product, and engineering teams at Disney+, Hulu and ESPN+. As Data Scientists, we use data to empower decision-makers with information, predictions, and insights that ultimately influence the experiences of millions of users worldwide. If you are someone who loves to work cross-functionally, build models, perform statistical analysis, and create visualizations to provide scalable and iterative capabilities, then this is a fantastic role for you!

Responsibilities :
Modeling: Apply state of the art machine learning and statistical analysis to develop models related to opportunity sizing, targeting, and optimization.
Deep analysis: Analyze user behavioral data to identify patterns, uncover opportunities, and create common understanding of how people are interacting with the service and content."
PROLIM Corporation,Data Scientist,"Redmond, WA",Employer Provided Salary:$90 Per Hour,Not given,Not given,Not given,30d+,"Title: Data Scientist IV
Job ID: PLM228296
Summary
Looking for a researcher with a background in human-computer interaction, neuroscience, cognitive science, and/or psychology to contribute to our team’s user state modeling research.
Job Responsibilities:
Collaborate with researchers and engineers to build AR/VR experiments that explore novel technologies, interface concepts, and models.
Explore and train machine learning models."
Biolife Plasma Services,Junior Data Scientist,"Bannockburn, IL",$66K - $134K (Glassdoor est.),3.3,Healthcare,Health Care Services & Hospitals,4d,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use. I further attest that all information I submit in my employment application is true to the best of my knowledge.
Job Description
About BioLife Plasma Services
Every day at BioLife, we feel good knowing that what we do helps improve the lives of patients with rare diseases. While you focus on our donors, we’ll support you. We offer a purpose you can believe in, a team you can count on, opportunities for career growth, and a comprehensive benefits program, all in a fast-paced, friendly environment.
Bannockburn, IL
Employee
Regular
Full time"
Kroger,Advanced Data Engineer,Remote,Employer Provided Salary:$84K - $186K,3.1,Retail & Wholesale,Grocery Stores,3d,"POSITION SUMMARY
Accountable for leading activities that create deliverables to guide the direction, development, and delivery of technological responses to targeted business outcomes. Provide facilitation, analysis and design tasks required for the development of an enterprise's data and information architecture, focusing on data asset for the enterprise. Develop reusable standards, design patterns, guidelines, and configurations to evolve the technical infrastructure related to data and information across the enterprise, including direct collaboration with 84.51. Demonstrate the company’s core values of respect, honesty, integrity, diversity, inclusion and safety.
ESSENTIAL JOB FUNCTIONS:
Participate in the development and communication of data strategy and roadmaps across the technology organization to support project portfolio and business strategy Participate in, and drive, the development and communication of enterprise standards for data domains and data solutions, focusing on simplified integration and streamlined operational and analytical uses Provide technical leadership to ensure clarity between ongoing projects, including direct collaboration with 84.51Drive digital innovation by leveraging innovative new technologies and approaches to renovate, extend, and transform the existing core data assets, including SQL-based, NoSQL-based, and Cloud-based data platforms Define high-level migration plans to address the gaps between the current and future state Present opportunities with cost/benefit analysis to leadership to shape sound architectural decisions Lead the analysis of the technology environment to detect critical deficiencies and recommend solutions for improvement Mentor team members in data principles, patterns, processes and practices Promote the reuse of data assets, including the management of the data catalog for reference Draft and review architectural diagrams, interface specifications and other design documents Must be able to perform the essential job functions of this position with or without reasonable accommodation"
Pinterest,"Data Scientist, Shopping Monetization","San Francisco, CA",$95K - $227K (Glassdoor est.),4.2,Information Technology,Internet & Web Services,5d,"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Our new progressive work model is called PinFlex, a term that's uniquely Pinterest to describe our flexible approach to living and working. Visit our PinFlex landing page to learn more.
As a Data Scientist you will shape the future of people-facing and business-facing products we build at Pinterest. Your expertise in quantitative modeling, experimentation and algorithms will be utilized to solve some of the most complex engineering challenges at the company. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Design, Research, Product Analytics, Data Engineering and others. The results of your work will influence and up-level our product development teams while introducing greater scientific rigor into the real world products serving hundreds of millions of Pinners, creators, advertisers and merchants around the world.

Not Specified
0"
Medical Products Laboratories,Data Scientist,Remote,Employer Provided Salary:$40 Per Hour,1.8,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,9d,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms"
Oscar Health,Data Scientist,"New York, NY",$95K - $175K (Glassdoor est.),3.6,Insurance,Insurance Agencies & Brokerages,1d,"Hi, we're Oscar. We're hiring Data Scientists to join our team.
Oscar is the first health insurance company built around a full stack technology platform and a relentless focus on serving our members. We started Oscar in 2012 to create the kind of health insurance company we would want for ourselves—one that behaves like a doctor in the family.
Oscar is restructuring health care to make it easy, affordable, and seamless for consumers to access high value care. Oscar's data team is focused on pushing our understanding of this complex landscape. Insurance companies sit on a trove of data that is both broad and deep, spanning financial claims, clinical medical records, and rich product interaction data from our members. Connecting the dots across these datasets gives us unique insight into how the healthcare system functions and allows us to improve care coordination, better manage risk, build higher-performing provider networks, and create a standout consumer experience in our product. At Oscar, we are looking for bright and curious data minded individuals to join our team of 40+ researchers, data scientists, and analysts to leverage our efforts!"
"LG Energy Solution Michigan, Inc.",Data Scientist,"Westborough, MA",$66K - $120K (Glassdoor est.),3.2,Manufacturing,Chemical Manufacturing,5d,"LG Energy Solution (LGES) Vertech is a technology leader in Li-ion based battery energy storage systems (BESS). We provide customizable clean energy storage solutions for renewables integration, commercial & industrial application, and utility-scale installations. LGES-Vertech plays a key role in EV mobility revolution that’s underway. LGES -Vertech is a vertically integrated company providing batteries, power-conversion system, system integration, and operations. LGES-Vertech has installed and maintained services for 1.2+GWHr of BESS in 180+ projects worldwide. Our proprietary AEROS® Energy Management Suite houses diverse data-related services such as data warehousing, remote monitoring, data visualization, and predictive maintenance.
The Role
LGES-Vertech is looking for motivated Data Scientist to join their Data Science and Data Analysis group and be part of renewable energy revolution and be pioneer in creating data science products for the energy systems. The individual in this position would be responsible for solving some of the most complex and challenging issues in BESS products. The data scientist will have the opportunity to innovate new algorithms, expand our suite of data-driven products, and apply data science techniques to provide BESS which is safe, highly available, and efficiently interoperate in the energy market."
SIL International,Data Scientist,Remote,Employer Provided Salary:$50K - $90K,4.3,"Arts, Entertainment & Recreation",Culture & Entertainment,12d,"Job Description Summary:
The data scientist will work alongside the existing SIL AI team while being mostly responsible for driving appropriate adoption of advanced technology across the Bible translation process, helping teams and organizations produce high quality results via human-centered AI workflows.
The data scientist will:
(1) Analyze the ecosystem of technology for augmenting translation processes to identify and comprehensively document existing technology that is ready for use, experimental technology that needs to be validated for Bible translation, and gaps within Bible translation processes that could easily be augmented by technology inside or outside of the Bible translation world.
(2) Help develop a playbook for translation teams wanting to augment their translation process to help them understand how they can begin to modify known translation processes with advanced technology (without completely destroying their existing process in favor of something with which they have no
experience)."
ANALYTOS,Junior Data Scientist,"Austin, TX",Not given,Not given,Not given,Not given,30d+,"You will collaborate with the brightest technical minds in building futuristic products, researching groundbreaking concepts, and influencing new ideas to transform retail. If you want to make meaningful contributions and reinvent the retail space that will impact millions of guests, Target is for you.
About This Opportunity: Responsible for the development of high performance, distributed computing tasks using Big Data technologies such as Hadoop, NoSQL, text mining and other distributed environment technologies based on the needs of the organization. Designs and drives the creation of new standards and best practices in the use of statistical data modeling, big data and optimization tools. Deploy data-science and technology based algorithmic solutions to address business needs for our customers Utilize recommender systems, collaborative filtering techniques, propensity modeling to drive our customer's business priorities
Qualifications: Msc - Statistics / Math or PhD in any stream
Experience : 0 to 2 years
Requirements
Experience / Strong Knowledge of Regression/Linear Analysis
Familiarity with any of Deep Learning, Distributed RF, Generalized Linear Model,K-Mean and naive Bayes
Familiarity with designing algorithms on Hadoop ecosystem
Experience / Strong Knowledge with recommendation systems
A strong passion for empirical research and for answering hard questions with data
Excellent written and verbal communication skills"
Corning,Senior Data Scientist,"Corning, NY",$92K - $182K (Glassdoor est.),3.9,Manufacturing,Electronics Manufacturing,30d+,"Location: Corning, NY, US, 14831
Company: Corning
Requisition Number: 45962

Corning is one of the world’s leading innovators in materials science! For more than 160 years, Corning has applied its unparalleled expertise in specialty glass, ceramics, and optical physics to develop products that have created new industries and transformed people’s lives."
Apptrics LLC,Data Scientist,Remote,Employer Provided Salary:$50 - $55 Per Hour,5.0,Not given,Not given,30d+,"Data Scientist
Remote
Primary Skills:
5-8 years of experience with data science and analytical services.
Domain: Experience in Oil and Gas domain or Manufacturing domain.
Exposure to software product development and experience with real time data acquisition system.
Expertise in predictive modeling, machine learning, and statistics.
Well-versed in machine learning algorithms and their suitability for solving various problems: Regression, Bayesian, Support Vector Machines, Decision Trees, Random Forest, Clustering, Neural Networks."
Nike,"Sr Data Scientist- (Advanced Analytics) (Open to remote work, except the following locations: SD, VT, and WV)","Beaverton, OR",Employer Provided Salary:$140K,4.1,Manufacturing,Consumer Product Manufacturing,19d,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world! The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and state-of-the-art technology, we strive to ensure that Nike gets the right product to the right place at the right time for the consumers."
US Federal Aviation Administration,Data Scientist,"Washington, DC",Employer Provided Salary:$132K - $204K,4.0,Government & Public Administration,National Agencies,4d,"Duties
The Data Scientist applies experience and expert knowledge to identify the methods, processes, algorithms, tools, and systems to extract data and interpret findings from varied structured and unstructured data sets related to the data science lifecycle. As a recognized expert within the Federal Aviation Administration (FAA), the Scientist is called to provide leadership for highly complex and challenging activities under the minimal direction of the manager. Identifies and resolves highly complex problems or issues, which often cross organizational boundaries within the ATO and frequently throughout the FAA. Work activities typically impact directly on the objectives of the ATO and frequently impacts the objectives of the FAA, the aviation and aerospace industries and other external parties.
Uses statistical methods to extract information from research data and provides different ways to assess the reliability and dependability of research outputs. Develops algorithms and/or tools to support data manipulation and processing as well as the use of data visualization techniques to articulate findings to aid in the design and construction of new innovative concepts, and techniques, such as collision risk modeling. Combines computer science, modeling, statistics, analytics, and mathematics to identify and resolve highly complex problems or issues, which has an impact on the accomplishment of FAA's strategic objectives. Reports quantitative information, trends, relationships and correlations among or within data sets, to support the Air Traffic Organization (ATO), Safety and Technical Training risk management efforts."
The Coca-Cola Company,Data Scientist 2,"Plano, TX",$82K - $164K (Glassdoor est.),4.0,Manufacturing,Food & Beverage Manufacturing,1d,"About Enterprise Data and Analytics:
The Data and Analytics (DnA) Services organization is transforming how Coca-Cola leverages data across the entire company. We passionately develop and scale leading data capabilities for Coca-Cola, driving growth and delighting consumers through innovation and agile, insight-led decision making.
Job Description Summary:
You will play a critical role in the growing Data Science Services team in DnA, where you will be responsible for developing advanced analytics and machine learning models across domains including: marketing, supply chain optimization, forecasting, digital transformation, and food and beverage science. You will work closely with IT partners, process owners and business stakeholders to deliver impactful data science solutions at significant scale. You will have the opportunity to do your best work every day and deliver disruptive innovation by tapping into new datasets, leveraging the latest cloud technologies, and being supported by a robust analytics and IT organization."
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,Remote,Employer Provided Salary:$115K,3.8,Information Technology,Internet & Web Services,30d+,"Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience
Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory
4+ years of industry experience in predictive modeling, data science, and analysis
Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models
Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility
Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models
Experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations"
MIT,Data Scientist,"Cambridge, MA",$86K - $167K (Glassdoor est.),4.4,Education,Colleges & Universities,4d,"Information on MIT’s COVID-19 vaccination requirement can be found at the bottom of this posting.

DATA SCIENTIST, Brain and Cognitive Sciences, to serve as data scientist for the InBRAIN Collaboration, a collaboration with the Neurosurgery Department at Massachusetts General Hospital (MGH) that creates opportunities for ethical and innovative human basic and translational intracranial neuroscience research, with a focus on robust data standards and sharing policies. Responsibilities include building data sharing policies, enforcing compliance, and identifying further avenues for collaboration; data warehousing; developing and overseeing protocols for secure and HIPAA-compliant data transfer; building tools to automate data collection, deidentification, and preprocessing steps; creating, maintaining, and modifying dashboards built on a SQL engine to query metadata; training lab members on leveraging the AWS infrastructure; logging, maintaining, and executing access to all computational resources; aiding the development of a new MIT course based on human intracranial data; and performing other duties as needed."
US Defense Information Systems Agency,DATA SCIENTIST,"Fort Meade, MD",Employer Provided Salary:$126K - $164K,3.7,Government & Public Administration,National Agencies,3d,"Duties
Develop and automates large scale, high-performance data processing systems and tools to improve data quality and volume, accelerate iteration cycles, and improve the ability to deliver superior enabled analytics capabilities.
Perform a broad range of data analyses assignments entailing unique problems, creativity, innovative use of techniques, advance approaches and or new technology
Plan and conduct statistical data analytics projects and/or studies to evaluate, design, and tabulate statistical sampling plans and analytical procedures and processes
Participate in meetings, conferences, briefings, and seminars related to data analytics program planning, technologies, and support system concepts."
Harley-Davidson,Data Scientist - Remote,"Milwaukee, WI",$67K - $123K (Glassdoor est.),3.5,Manufacturing,Transportation Equipment Manufacturing,1d,"Auto req ID: 17681
Title: Data Scientist - Remote
Job Function: Product Management
Location: Remote
Company: Harley-Davidson Motor Company
Full or Part-Time: Full Time

At Harley-Davidson, we are building more than machines. It’s our passion and commitment to continue the evolution of this storied brand, and heighten the desirability of the Harley-Davidson experience. To keep building our legend and leading our industry through innovation, evolution, and emotion we need the best and brightest talent. We stand for the timeless pursuit of adventure. Freedom for the soul. Are you ready to join us?

We maximize employee flexibility and well-being through a virtual mindset that supports our highly distributed, global workforce. We take an outcome-focused, people-centered approach to winning, including welcoming the best talent - wherever they may be."
Los Angeles County Department of Human Resources,DATA SCIENTIST,"Los Angeles, CA",Employer Provided Salary:$100K - $135K,3.3,Healthcare,Health Care Services & Hospitals,16d,"EXAM NUMBER:
PH1763A
FIRST DAY OF FILING:
Friday, May 13, 2022 at 8:30 a.m., Pacific Time (PT)
Until the needs of the service are met and is subject to closure without prior notice.
TYPE OF RECRUITMENT:
Open Competitive Job Opportunity

Position Information:
Under general supervision, develops and applies methods to identify, collect, process, organize, and analyze structured and unstructured data using statistical prediction, inference, and optimization; effectively communicates results to County, departmental, and divisional decision makers to support data-driven program design and management."
